id,Artist Name,Song Name,Popularity Score
1,Adele,Easy On Me,85
2,Rihanna,Stay,75
3,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),83
4,Walker Hayes,Fancy Like,76
5,Ed Sheeran,Bad Habits,87
6,Drake,Way 2 Sexy (with Future & Young Thug),78
7,Ed Sheeran,Shivers,88
8,Olivia Rodrigo,good 4 u,87
9,Doja Cat,Need to Know,82
10,Dua Lipa,Levitating,84
11,Wizkid,Essence (feat. Tems),75
12,Doja Cat,Kiss Me More (feat. SZA),82
13,Glass Animals,Heat Waves,85
14,Måneskin,Beggin',86
15,Elton John,Cold Heart - PNAU Remix,86
16,Doja Cat,You Right,83
17,The Weeknd,Save Your Tears,90
18,Jason Aldean,If I Didn't Love You,71
19,Olivia Rodrigo,traitor,87
20,Coldplay,My Universe,83
21,Nardo Wick,Who Want Smoke?? (feat. G Herbo Lil Durk & 21 Savage),71
22,Drake,Knife Talk (with 21 Savage ft. Project Pat),84
23,THE ANXIETY,Meet Me At Our Spot,79
24,Lil Nas X,MONTERO (Call Me By Your Name),82
25,Ryan Hurd,Chasing After You,68
26,Drake,Girls Want Girls (with Lil Baby),78
27,Swedish House Mafia,Moth To A Flame (with The Weeknd),83
28,Loza Alexander,Lets Go Brandon,48
29,Lil Nas X,THATS WHAT I WANT,84
30,Farruko,Pepas,84
31,CKay,love nwantiti (ah ah ah),82
32,The Weeknd,Take My Breath - Single Version,1
33,Billie Eilish,Happier Than Ever,87
34,Moneybagg Yo,Wockesha,67
35,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),80
36,Jordan Davis,Buy Dirt,81
37,Justin Bieber,Ghost,88
38,Loza Alexander,Lets Go Brandon,48
39,Luke Combs,Cold As You,72
40,Kidz Bop Kids,A-O-K,30
41,Chris Stapleton,You Should Probably Leave,80
42,Bruno Mars,Leave The Door Open,83
43,Dustin Lynch,Thinking 'Bout You (feat. MacKenzie Porter),75
44,Lee Brice,Memory I Don't Mess With,69
45,Colbie Caillat,Bubbly,69
46,Mötley Crüe,Wild Side,69
47,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),68
48,Capella Grey,GYALIS,64
49,Old Dominion,I Was On a Boat That Day,64
50,Baby Keem,family ties (with Kendrick Lamar),83
51,Chlöe,Have Mercy,73
52,Drake,Fair Trade (with Travis Scott),85
53,Zac Brown Band,Same Boat,62
54,Billie Eilish,my boy,0
55,Luke Combs,Hurricane,78
56,Polo G,Chosen 1,77
57,Yung Bleu,Baddest,58
58,Kenny Chesney,Knowing You,61
59,Old Dominion,Memory Lane,77
60,Jameson Rodgers,Cold Beer Calling My Name,65
61,Lil Tjay,Not In The Mood (feat. Fivio Foreign & Kay Flock),68
62,Lil Durk,Pissed Me Off,58
63,Doja Cat,Woman,87
64,Morgan Wallen,Sand In My Boots,79
65,Cody Johnson,Til You Can't,76
66,The Kid LAROI,Love Again,86
67,Michael Ray,Whiskey And Rain,67
68,Kane Brown,One Mississippi,65
69,Moneybagg Yo,Switches & Dracs (with Lil Durk feat. EST Gee),61
70,Eslabon Armado,Jugaste y Sufrí,81
71,Gunna,too easy,65
72,Ivan Cornejo,Está Dañada,77
73,Aventura,Volví,80
74,Jon Pardi,Tequila Little Time,65
75,BIA,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,68
76,Sleepy Hallow,2055,82
77,42 Dugg,Maybach (feat. Future),65
78,RealestK,WFM,73
79,Playboi Carti,Poke It Out (with Nicki Minaj),64
80,Kanye West,Praise God,77
81,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),83
82,Jimmie Allen,Freedom Was A Highway,65
83,Giveon,For Tonight,72
84,Megan Thee Stallion,Thot Shit,70
85,Lady A,Like A Lady,54
86,Doja Cat,Get Into It (Yuh),80
87,Moneybagg Yo,Scorpio,64
88,Latto,Big Energy,74
89,Kelsea Ballerini,half of my hometown (feat. Kenny Chesney),70
90,Kendrick Lamar,Money Trees,83
91,Drake,No Friends In The Industry,74
92,Grupo Firme,Ya Supérame (En Vivo),77
93,Jonas Brothers,Who's In Your Head,65
94,Morgan Wallen,In The Bible (feat. HARDY),77
95,Priscilla Block,Just About Over You,59
96,Parker McCollum,To Be Loved By You,64
97,Doja Cat,Ain't Shit,80
98,Lil Baby,Life Goes On,77
99,Miguel,Come Through and Chill (feat. J. Cole & Salaam Remi),69
100,YoungBoy Never Broke Again,Nevada,73