date,rank,song,artist,last-week,peak-rank,weeks-on-board,YouTube music video link,video id
2021-11-06,1,Easy On Me,Adele,1,1,3,https://www.youtube.com/watch?v=U3ASj1L6_sY,U3ASj1L6_sY
2021-11-06,2,Stay,The Kid LAROI & Justin Bieber,2,1,16,https://www.youtube.com/watch?v=kTJczUoc26U,kTJczUoc26U
2021-11-06,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,14,https://www.youtube.com/watch?v=UTHLKHL_whs,UTHLKHL_whs
2021-11-06,4,Fancy Like,Walker Hayes,4,3,19,https://www.youtube.com/watch?v=G_zuB-ogIBw,G_zuB-ogIBw
2021-11-06,5,Bad Habits,Ed Sheeran,5,2,18,https://www.youtube.com/watch?v=orJSJGHjBLI,orJSJGHjBLI
2021-11-06,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6,1,8,https://www.youtube.com/watch?v=vX9msKu75qs,vX9msKu75qs
2021-11-06,7,Shivers,Ed Sheeran,9,7,7,https://www.youtube.com/watch?v=Il0S8BoucSA,Il0S8BoucSA
2021-11-06,8,Good 4 U,Olivia Rodrigo,7,1,24,https://www.youtube.com/watch?v=gNi_6U5Pm_o,gNi_6U5Pm_o
2021-11-06,9,Need To Know,Doja Cat,11,9,20,https://www.youtube.com/watch?v=dI3xkL7qUAc,dI3xkL7qUAc
2021-11-06,10,Levitating,Dua Lipa,8,2,56,https://www.youtube.com/watch?v=TUVcZfQe-Kw,TUVcZfQe-Kw
2021-11-06,11,Essence,Wizkid Featuring Justin Bieber & Tems,12,9,17,https://www.youtube.com/watch?v=jipQpjUA_o8,jipQpjUA_o8
2021-11-06,12,Kiss Me More,Doja Cat Featuring SZA,10,3,29,https://www.youtube.com/watch?v=0EVVKs6DQLo,0EVVKs6DQLo
2021-11-06,13,Heat Waves,Glass Animals,14,12,41,https://www.youtube.com/watch?v=mRD0-GxqHVo,mRD0-GxqHVo
2021-11-06,14,Beggin',Maneskin,15,14,18,https://www.youtube.com/watch?v=Xg72z08aTXY,Xg72z08aTXY
2021-11-06,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,21,15,8,https://www.youtube.com/watch?v=qod03PVTLqk,qod03PVTLqk
2021-11-06,16,You Right,Doja Cat & The Weeknd,16,11,18,https://www.youtube.com/watch?v=JXgV1rXUoME,JXgV1rXUoME
2021-11-06,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,46,https://www.youtube.com/watch?v=LIIDh-qI9oI,LIIDh-qI9oI
2021-11-06,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,23,15,14,https://www.youtube.com/watch?v=Zc3cxj5pDIs,Zc3cxj5pDIs
2021-11-06,19,Traitor,Olivia Rodrigo,22,9,23,https://www.youtube.com/watch?v=CRrf3h9vhp8,CRrf3h9vhp8
2021-11-06,20,My Universe,Coldplay x BTS,13,1,5,https://www.youtube.com/watch?v=3YqPKLZF_WU,3YqPKLZF_WU
2021-11-06,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",19,17,3,https://www.youtube.com/watch?v=U2SNwtE-0Us,U2SNwtE-0Us
2021-11-06,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,18,4,8,https://www.youtube.com/watch?v=XqpQpt_cmhE,XqpQpt_cmhE
2021-11-06,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,32,23,7,https://www.youtube.com/watch?v=2dTMIH5gCHg,2dTMIH5gCHg
2021-11-06,24,Montero (Call Me By Your Name),Lil Nas X,24,1,31,https://www.youtube.com/watch?v=6swmTBVI83k,6swmTBVI83k
2021-11-06,25,Chasing After You,Ryan Hurd With Maren Morris,25,23,26,https://www.youtube.com/watch?v=yKXw_MMm0UA,yKXw_MMm0UA
2021-11-06,26,Girls Want Girls,Drake Featuring Lil Baby,26,2,8,https://www.youtube.com/watch?v=Xn5qif7gmg4,Xn5qif7gmg4
2021-11-06,27,Moth To A Flame,Swedish House Mafia & The Weeknd,,27,1,https://www.youtube.com/watch?v=u9n7Cw-4_HQ,u9n7Cw-4_HQ
2021-11-06,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,,28,1,https://www.youtube.com/watch?v=wlHR7M-1fX4,wlHR7M-1fX4
2021-11-06,29,Thats What I Want,Lil Nas X,28,10,6,https://www.youtube.com/watch?v=QDYDRA5JPLE,QDYDRA5JPLE
2021-11-06,30,Pepas,Farruko,29,25,14,https://www.youtube.com/watch?v=y8trd3gjJt0,y8trd3gjJt0
2021-11-06,31,Love Nwantiti (Ah Ah Ah),CKay,31,31,6,https://www.youtube.com/watch?v=D-YDEyuDxWU,D-YDEyuDxWU
2021-11-06,32,Take My Breath,The Weeknd,27,6,12,https://www.youtube.com/watch?v=rhTl_OyehF8,rhTl_OyehF8
2021-11-06,33,Happier Than Ever,Billie Eilish,30,11,13,https://www.youtube.com/watch?v=5GJWxDKyk3A,5GJWxDKyk3A
2021-11-06,34,Wockesha,Moneybagg Yo,33,20,27,https://www.youtube.com/watch?v=6bN45f9NjlA,6bN45f9NjlA
2021-11-06,35,Better Days,NEIKED X Mae Muller X Polo G,57,35,2,https://www.youtube.com/watch?v=GQAOrCOknCY,GQAOrCOknCY
2021-11-06,36,Buy Dirt,Jordan Davis Featuring Luke Bryan,34,34,12,https://www.youtube.com/watch?v=AKec3LTILRU,AKec3LTILRU
2021-11-06,37,Ghost,Justin Bieber,38,32,5,https://www.youtube.com/watch?v=Fp8msa5uYsc,Fp8msa5uYsc
2021-11-06,38,Lets Go Brandon,Loza Alexander,45,38,2,https://www.youtube.com/watch?v=qr_F_XQrukM,qr_F_XQrukM
2021-11-06,39,Cold As You,Luke Combs,41,39,13,https://www.youtube.com/watch?v=Y4BfaojXcWE,Y4BfaojXcWE
2021-11-06,40,A-O-K,Tai Verdes,36,34,17,https://www.youtube.com/watch?v=vFimC3To0MU,vFimC3To0MU
2021-11-06,41,You Should Probably Leave,Chris Stapleton,40,40,17,https://www.youtube.com/watch?v=1xIKhlwFEd0,1xIKhlwFEd0
2021-11-06,42,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),44,1,34,https://www.youtube.com/watch?v=adLGHcj_fmA,adLGHcj_fmA
2021-11-06,43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,51,43,11,https://www.youtube.com/watch?v=nqCQfwhYfXE,nqCQfwhYfXE
2021-11-06,44,Memory I Don't Mess With,Lee Brice,35,33,14,https://www.youtube.com/watch?v=YQhJm3QkXq0,YQhJm3QkXq0
2021-11-06,45,Bubbly,Young Thug With Drake & Travis Scott,20,20,2,https://www.youtube.com/watch?v=cVXROx77v00,cVXROx77v00
2021-11-06,46,Wild Side,Normani Featuring Cardi B,47,14,15,https://www.youtube.com/watch?v=DFMEBquxeO8,DFMEBquxeO8
2021-11-06,47,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,43,22,9,https://www.youtube.com/watch?v=XCyIcifbOWE,XCyIcifbOWE
2021-11-06,48,Gyalis,Capella Grey,46,38,13,https://www.youtube.com/watch?v=CUzUI2wcqLg,CUzUI2wcqLg
2021-11-06,49,I Was On A Boat That Day,Old Dominion,42,37,17,https://www.youtube.com/watch?v=nr5dMwKaLag,nr5dMwKaLag
2021-11-06,50,Family Ties,Baby Keem & Kendrick Lamar,52,18,9,https://www.youtube.com/watch?v=v6HBZC9pZHQ,v6HBZC9pZHQ
2021-11-06,51,Have Mercy,Chloe,53,28,7,https://www.youtube.com/watch?v=FfesqRkdSEk,FfesqRkdSEk
2021-11-06,52,Fair Trade,Drake Featuring Travis Scott,48,3,8,https://www.youtube.com/watch?v=_ZDLaRzwGiQ,_ZDLaRzwGiQ
2021-11-06,53,Same Boat,Zac Brown Band,55,53,6,https://www.youtube.com/watch?v=_uHXS36LKNE,_uHXS36LKNE
2021-11-06,54,My Boy,Elvie Shane,37,28,18,https://www.youtube.com/watch?v=35BKdh4CoQ8,35BKdh4CoQ8
2021-11-06,55,Hurricane,Kanye West,58,6,9,https://www.youtube.com/watch?v=VRJiK-kdDb4,VRJiK-kdDb4
2021-11-06,56,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,63,56,5,https://www.youtube.com/watch?v=kUhHdASVjGs,kUhHdASVjGs
2021-11-06,57,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",59,56,13,https://www.youtube.com/watch?v=2HzK5G72JI8,2HzK5G72JI8
2021-11-06,58,Knowing You,Kenny Chesney,64,58,11,https://www.youtube.com/watch?v=PkrTvtIxUaA,PkrTvtIxUaA
2021-11-06,59,Memory,Kane Brown X blackbear,62,50,16,https://www.youtube.com/watch?v=fPziOGGqEpw,fPziOGGqEpw
2021-11-06,60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,54,26,17,https://www.youtube.com/watch?v=bBBOw2ZLwqI,bBBOw2ZLwqI
2021-11-06,61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",,61,1,https://www.youtube.com/watch?v=mwznbHHjnXk,mwznbHHjnXk
2021-11-06,62,Pissed Me Off,Lil Durk,39,39,2,https://www.youtube.com/watch?v=DdDdQZHH2cM,DdDdQZHH2cM
2021-11-06,63,Woman,Doja Cat,65,62,13,https://www.youtube.com/watch?v=yxW5yuzVi8w,yxW5yuzVi8w
2021-11-06,64,Sand In My Boots,Morgan Wallen,74,32,15,https://www.youtube.com/watch?v=FXzE9eP1U_E,FXzE9eP1U_E
2021-11-06,65,Til You Can't,Cody Johnson,76,65,3,https://www.youtube.com/watch?v=v2LixP7n_hM,v2LixP7n_hM
2021-11-06,66,Love Again,Dua Lipa,61,41,15,https://www.youtube.com/watch?v=BC19kwABFwc,BC19kwABFwc
2021-11-06,67,Whiskey And Rain,Michael Ray,81,67,4,https://www.youtube.com/watch?v=rTxXInO54Z8,rTxXInO54Z8
2021-11-06,68,One Mississippi,Kane Brown,80,68,5,https://www.youtube.com/watch?v=O2HpAdaE7R4,O2HpAdaE7R4
2021-11-06,69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,,69,1,https://www.youtube.com/watch?v=Hl19px8jid0,Hl19px8jid0
2021-11-06,70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,77,69,4,https://www.youtube.com/watch?v=CULF9lXH87w,CULF9lXH87w
2021-11-06,71,Too Easy,Gunna & Future,71,38,5,https://www.youtube.com/watch?v=fYd-esC2Iw4,fYd-esC2Iw4
2021-11-06,72,Esta Danada,Ivan Cornejo,66,61,4,https://www.youtube.com/watch?v=rBLLbgD0FsM,rBLLbgD0FsM
2021-11-06,73,Volvi,Aventura x Bad Bunny,75,22,13,https://www.youtube.com/watch?v=ayd3yWr4tqU,ayd3yWr4tqU
2021-11-06,74,Tequila Little Time,Jon Pardi,83,74,3,https://www.youtube.com/watch?v=GI6_cvAQDrM,GI6_cvAQDrM
2021-11-06,75,Whole Lotta Money,BIA Featuring Nicki Minaj,70,16,16,https://www.youtube.com/watch?v=XhpBInq5p8M,XhpBInq5p8M
2021-11-06,76,2055,Sleepy Hallow,72,51,15,https://www.youtube.com/watch?v=y1xZ_kAhjMc,y1xZ_kAhjMc
2021-11-06,77,Maybach,42 Dugg Featuring Future,85,68,5,https://www.youtube.com/watch?v=gVGRIBWy6ig,gVGRIBWy6ig
2021-11-06,78,WFM,Realestk,67,67,3,https://www.youtube.com/watch?v=2LxeMZm8pMw,2LxeMZm8pMw
2021-11-06,79,Poke It Out,Wale Featuring J. Cole,,79,1,https://www.youtube.com/watch?v=LNt6higN14I,LNt6higN14I
2021-11-06,80,Praise God,Kanye West,89,20,5,https://www.youtube.com/watch?v=9sJZOGxRxwM,9sJZOGxRxwM
2021-11-06,81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",73,51,3,https://www.youtube.com/watch?v=NO7EtdR3Dyw,NO7EtdR3Dyw
2021-11-06,82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84,82,3,https://www.youtube.com/watch?v=pgvNtz_XXE4,pgvNtz_XXE4
2021-11-06,83,For Tonight,Giveon,88,83,4,https://www.youtube.com/watch?v=JRoam571b58,JRoam571b58
2021-11-06,84,Thot Shit,Megan Thee Stallion,82,16,20,https://www.youtube.com/watch?v=KynkMn5Hv3Q,KynkMn5Hv3Q
2021-11-06,85,Like A Lady,Lady A,99,85,3,https://www.youtube.com/watch?v=t_oMxYitTms,t_oMxYitTms
2021-11-06,86,Get Into It (Yuh),Doja Cat,86,68,12,https://www.youtube.com/watch?v=9Ko-nEYJ1GE,9Ko-nEYJ1GE
2021-11-06,87,Scorpio,Moneybagg Yo,,87,1,https://www.youtube.com/watch?v=GChxzIwyNt4,GChxzIwyNt4
2021-11-06,88,Big Energy,Latto,,88,1,https://www.youtube.com/watch?v=T8GpG8C0YzA,T8GpG8C0YzA
2021-11-06,89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,,89,1,https://www.youtube.com/watch?v=abYaq2tWGYs,abYaq2tWGYs
2021-11-06,90,Money,Lisa,,90,1,https://www.youtube.com/watch?v=P01O1As5hLE,P01O1As5hLE
2021-11-06,91,No Friends In The Industry,Drake,87,11,8,https://www.youtube.com/watch?v=_dSN9EaQotw,_dSN9EaQotw
2021-11-06,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92,92,2,https://www.youtube.com/watch?v=g2BzGJnNvEw,g2BzGJnNvEw
2021-11-06,93,Who's In Your Head,Jonas Brothers,96,93,3,https://www.youtube.com/watch?v=orex_wD5ths,orex_wD5ths
2021-11-06,94,In The Bible,Drake Featuring Lil Durk & Giveon,94,7,8,https://www.youtube.com/watch?v=eEdVtJW_PwE,eEdVtJW_PwE
2021-11-06,95,Just About Over You,Priscilla Block,100,95,3,https://www.youtube.com/watch?v=J1Jrp0tiRGk,J1Jrp0tiRGk
2021-11-06,96,To Be Loved By You,Parker McCollum,,96,1,https://www.youtube.com/watch?v=6FdpFu630hY,6FdpFu630hY
2021-11-06,97,Ain't Shit,Doja Cat,,24,14,https://www.youtube.com/watch?v=13MvatpPQv4,13MvatpPQv4
2021-11-06,98,Life Goes On,Oliver Tree,,91,2,https://www.youtube.com/watch?v=8F2s8ivKXNY,8F2s8ivKXNY
2021-11-06,99,Come Through,H.E.R. Featuring Chris Brown,,64,16,https://www.youtube.com/watch?v=50GjhhyfN_Q,50GjhhyfN_Q
2021-11-06,100,Nevada,YoungBoy Never Broke Again,,58,4,https://www.youtube.com/watch?v=JfGnwcf5Lt0,JfGnwcf5Lt0